epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0851,0.93907,2.91064,1.31752,0.32242,0.12329,0.25365,0.17193,0.95334,2.62811,1.41365,0.000326923,0.000326923,0.000326923
2,73.7902,1.01666,2.08961,1.36,0.37214,0.39368,0.33697,0.19422,1.35366,2.36908,1.87572,0.000652086,0.000652086,0.000652086
3,107.02,1.04069,1.94592,1.37241,0.19089,0.25789,0.13698,0.07232,1.49395,4.53109,1.96393,0.000968998,0.000968998,0.000968998
4,140.006,1.09269,1.91129,1.41063,0.37213,0.50971,0.36195,0.21024,1.27185,2.50208,1.79666,0.000962875,0.000962875,0.000962875
5,172.903,1.07148,1.74127,1.38305,0.47713,0.45895,0.38827,0.24168,1.22519,2.02101,1.62245,0.0009505,0.0009505,0.0009505
6,206.232,1.03119,1.65324,1.3538,0.48781,0.4128,0.42405,0.27805,1.27406,1.99418,1.6814,0.000938125,0.000938125,0.000938125
7,240.654,1.00324,1.58875,1.34352,0.50688,0.57109,0.51553,0.34789,1.12416,1.61906,1.54988,0.00092575,0.00092575,0.00092575
8,273.709,1.01162,1.52709,1.3368,0.59696,0.54605,0.56993,0.38322,1.06447,1.5378,1.4567,0.000913375,0.000913375,0.000913375
9,306.465,0.97953,1.44479,1.31126,0.42801,0.44874,0.36588,0.21932,1.35586,2.03139,1.79573,0.000901,0.000901,0.000901
10,338.804,0.98481,1.43415,1.31313,0.57247,0.57066,0.53564,0.3622,1.02989,1.58299,1.46803,0.000888625,0.000888625,0.000888625
11,370.839,0.96363,1.35383,1.29811,0.58055,0.55647,0.56843,0.38235,1.04227,1.49081,1.42789,0.00087625,0.00087625,0.00087625
12,403.122,0.93933,1.32591,1.28891,0.59264,0.52415,0.56827,0.39209,1.00874,1.42892,1.42998,0.000863875,0.000863875,0.000863875
13,436.464,0.94069,1.2975,1.29257,0.57938,0.58706,0.56661,0.38127,1.05157,1.48837,1.43235,0.0008515,0.0008515,0.0008515
14,468.758,0.92012,1.2417,1.26785,0.58689,0.51706,0.54775,0.38031,1.02971,1.69235,1.45086,0.000839125,0.000839125,0.000839125
15,501.774,0.89716,1.23057,1.25642,0.55271,0.63782,0.57355,0.40852,0.96153,1.60156,1.36421,0.00082675,0.00082675,0.00082675
16,535.202,0.90244,1.21976,1.27313,0.61235,0.60669,0.64961,0.44964,0.99052,1.28795,1.40342,0.000814375,0.000814375,0.000814375
17,568.687,0.88831,1.18407,1.25362,0.64816,0.51987,0.5862,0.40215,0.98414,1.50354,1.40476,0.000802,0.000802,0.000802
18,601.008,0.8785,1.12653,1.24577,0.66707,0.59015,0.65942,0.47323,0.92402,1.27543,1.32959,0.000789625,0.000789625,0.000789625
19,634.128,0.87709,1.1269,1.24658,0.66773,0.57186,0.63232,0.4593,0.96615,1.28491,1.39127,0.00077725,0.00077725,0.00077725
