epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1365.66,0.77246,0.8135,1.16005,0.70281,0.64761,0.69084,0.50814,0.85265,1.1498,1.30036,0.0007294,0.0007294,0.0007294
43,1397.28,0.75398,0.79547,1.1518,0.75507,0.61252,0.71176,0.52538,0.86731,1.16423,1.29425,0.0007228,0.0007228,0.0007228
44,1430.05,0.77417,0.80911,1.1657,0.66603,0.69247,0.70662,0.51375,0.87803,1.04391,1.31459,0.0007162,0.0007162,0.0007162
45,1464.61,0.76076,0.78321,1.16151,0.69431,0.66923,0.68102,0.49281,0.87373,1.18721,1.31489,0.0007096,0.0007096,0.0007096
46,1496.71,0.76357,0.78674,1.16125,0.71704,0.65588,0.72133,0.53615,0.88867,0.96296,1.30486,0.000703,0.000703,0.000703
47,1528.06,0.74998,0.75215,1.14431,0.64799,0.66631,0.66838,0.49602,0.89446,1.10673,1.31719,0.0006964,0.0006964,0.0006964
48,1560.41,0.76828,0.78602,1.15544,0.69337,0.7075,0.74439,0.55558,0.87941,0.96869,1.30597,0.0006898,0.0006898,0.0006898
49,1594.04,0.75579,0.77696,1.1613,0.6693,0.60848,0.65436,0.48387,0.8719,1.17128,1.32875,0.0006832,0.0006832,0.0006832
50,1625.85,0.744,0.75271,1.14264,0.70447,0.66913,0.71027,0.52249,0.87293,0.98739,1.303,0.0006766,0.0006766,0.0006766
51,1658.2,0.74973,0.74534,1.13625,0.70468,0.69178,0.7336,0.5326,0.8722,1.09162,1.29415,0.00067,0.00067,0.00067
52,1691.28,0.73525,0.74091,1.13017,0.6447,0.70344,0.71154,0.51033,0.90705,1.03648,1.33481,0.0006634,0.0006634,0.0006634
53,1723.57,0.74625,0.74231,1.1417,0.72907,0.68332,0.73727,0.53811,0.8685,1.04556,1.30769,0.0006568,0.0006568,0.0006568
54,1755.57,0.73423,0.72445,1.13243,0.72015,0.63977,0.73578,0.54702,0.84853,1.02177,1.28944,0.0006502,0.0006502,0.0006502
55,1786.34,0.71325,0.70225,1.13041,0.69593,0.60419,0.6678,0.48542,0.93238,1.13954,1.37486,0.0006436,0.0006436,0.0006436
56,1818.24,0.72512,0.73405,1.13191,0.75777,0.64683,0.72566,0.54474,0.84131,0.9469,1.28318,0.000637,0.000637,0.000637
57,1850.61,0.72986,0.71886,1.14136,0.64401,0.7038,0.70417,0.50054,0.88866,1.12499,1.34772,0.0006304,0.0006304,0.0006304
58,1884.25,0.70405,0.70246,1.12287,0.75367,0.66778,0.72445,0.53113,0.83018,0.9275,1.26718,0.0006238,0.0006238,0.0006238
59,1916.3,0.70308,0.69488,1.12511,0.70755,0.72937,0.73373,0.53388,0.83893,0.8968,1.27248,0.0006172,0.0006172,0.0006172
60,1947.67,0.71843,0.70422,1.13004,0.77731,0.65902,0.74045,0.52196,0.87295,0.91787,1.31189,0.0006106,0.0006106,0.0006106
61,1980.03,0.70225,0.68111,1.12347,0.68078,0.65311,0.68066,0.50191,0.84977,1.0959,1.29006,0.000604,0.000604,0.000604
62,2012.53,0.69659,0.68513,1.11186,0.72578,0.69563,0.7387,0.54728,0.81814,0.94726,1.25624,0.0005974,0.0005974,0.0005974
63,2045.12,0.69938,0.67478,1.11548,0.71465,0.6959,0.71974,0.52278,0.86891,1.03188,1.31493,0.0005908,0.0005908,0.0005908
64,2076.37,0.70027,0.67867,1.1169,0.70271,0.65967,0.70305,0.52821,0.8393,0.99191,1.25449,0.0005842,0.0005842,0.0005842
65,2107.69,0.69042,0.67365,1.10508,0.65682,0.70532,0.72139,0.53462,0.83952,1.02217,1.26868,0.0005776,0.0005776,0.0005776
66,2139,0.68906,0.66418,1.10339,0.76945,0.71877,0.76214,0.55563,0.8789,0.90836,1.31084,0.000571,0.000571,0.000571
67,2170.67,0.69249,0.64808,1.11064,0.72251,0.71293,0.74065,0.54801,0.81844,0.90186,1.25333,0.0005644,0.0005644,0.0005644
68,2202.44,0.67884,0.65878,1.10815,0.70039,0.68567,0.72756,0.54838,0.83167,0.9333,1.26632,0.0005578,0.0005578,0.0005578
69,2233.61,0.68571,0.65913,1.10948,0.71775,0.62598,0.67082,0.49843,0.84855,1.13742,1.27632,0.0005512,0.0005512,0.0005512
70,2266.06,0.67603,0.64917,1.10874,0.76302,0.67466,0.74996,0.56641,0.82304,0.89059,1.28003,0.0005446,0.0005446,0.0005446
71,2299.07,0.66591,0.63357,1.09202,0.6953,0.73835,0.74565,0.55839,0.80542,0.87495,1.2626,0.000538,0.000538,0.000538
72,2329,0.69027,0.63017,1.10186,0.64394,0.71245,0.7031,0.53673,0.80672,0.97294,1.2363,0.0005314,0.0005314,0.0005314
73,2361.17,0.68372,0.64138,1.10304,0.68349,0.71167,0.74504,0.56309,0.81092,0.91432,1.25494,0.0005248,0.0005248,0.0005248
74,2393.96,0.66301,0.61522,1.09244,0.68761,0.73737,0.7473,0.56458,0.83021,0.87076,1.26841,0.0005182,0.0005182,0.0005182
75,2425.35,0.67495,0.61416,1.08999,0.70785,0.70475,0.71453,0.54153,0.84768,0.93012,1.29171,0.0005116,0.0005116,0.0005116
76,2456.8,0.66148,0.61758,1.10038,0.71756,0.62622,0.69924,0.52892,0.86304,0.99289,1.30791,0.000505,0.000505,0.000505
77,2489.08,0.68661,0.63342,1.09151,0.74319,0.64178,0.703,0.53448,0.82873,0.96765,1.25216,0.0004984,0.0004984,0.0004984
78,2519.78,0.66556,0.60641,1.09051,0.72282,0.67634,0.75481,0.5634,0.83726,0.86836,1.28228,0.0004918,0.0004918,0.0004918
79,2552.1,0.65746,0.60435,1.09512,0.67156,0.76785,0.73578,0.54995,0.8392,0.90374,1.29018,0.0004852,0.0004852,0.0004852
80,2583.11,0.65301,0.59445,1.08616,0.73789,0.69974,0.74778,0.56423,0.8091,0.92087,1.24605,0.0004786,0.0004786,0.0004786
81,2615.38,0.64324,0.59399,1.08783,0.77465,0.64219,0.73145,0.54447,0.83535,0.90294,1.26948,0.000472,0.000472,0.000472
82,2646.85,0.65125,0.59006,1.08318,0.77006,0.71969,0.76817,0.57466,0.81369,0.86036,1.26092,0.0004654,0.0004654,0.0004654
83,2678.21,0.65045,0.58783,1.08583,0.73038,0.66355,0.72566,0.54013,0.85374,0.94157,1.27686,0.0004588,0.0004588,0.0004588
84,2712.12,0.66095,0.59976,1.08873,0.73246,0.72111,0.75903,0.55937,0.83364,0.86053,1.27457,0.0004522,0.0004522,0.0004522
85,2744.65,0.64123,0.5813,1.07671,0.73829,0.72058,0.74021,0.55495,0.79498,0.8807,1.24384,0.0004456,0.0004456,0.0004456
86,2779.13,0.64046,0.57247,1.07836,0.77255,0.72089,0.77504,0.58887,0.77955,0.82503,1.22512,0.000439,0.000439,0.000439
87,2810.91,0.63261,0.56228,1.07706,0.78076,0.65413,0.73185,0.55197,0.81673,0.9772,1.26134,0.0004324,0.0004324,0.0004324
88,2843.32,0.64305,0.55516,1.0734,0.75739,0.67123,0.73533,0.55959,0.80646,0.86388,1.26719,0.0004258,0.0004258,0.0004258
89,2875.9,0.6238,0.56145,1.07812,0.75261,0.69465,0.74048,0.56738,0.79075,0.86966,1.24412,0.0004192,0.0004192,0.0004192
90,2906.52,0.64473,0.58301,1.0811,0.77128,0.69792,0.7807,0.59083,0.81332,0.85785,1.24467,0.0004126,0.0004126,0.0004126
91,2938.65,0.62663,0.55005,1.06176,0.75926,0.69755,0.74962,0.56193,0.80719,0.86592,1.2667,0.000406,0.000406,0.000406
92,2970.15,0.62312,0.55641,1.07045,0.70557,0.70939,0.71909,0.53742,0.82199,0.96184,1.2783,0.0003994,0.0003994,0.0003994
93,3001.42,0.6281,0.5584,1.07047,0.79272,0.66756,0.77751,0.57846,0.83436,0.85785,1.27018,0.0003928,0.0003928,0.0003928
94,3034.81,0.61804,0.54364,1.0659,0.75955,0.71851,0.76106,0.57563,0.84003,0.83664,1.27692,0.0003862,0.0003862,0.0003862
